mae,rmse,r2,p90_abs_error,mean_y_true,mean_y_pred,n,hour
3.320376787423872,5.584158399898413,0.8492910891531633,7.774819430605568,21.082936519850666,20.85558066497474,999210,19
3.708438883648042,6.264199154326032,0.833314786562512,8.693361822411644,22.52495254095947,21.848307502903875,978528,18
3.042256084003541,5.325354038698563,0.8642480923966589,7.230856201268727,20.408283242558774,20.4307242977129,925553,20
3.5207413829177043,6.140595737741222,0.8594446181965738,8.231538690895398,22.808341101960036,22.045402435688413,902991,17
3.9941515433459682,6.979415766251788,0.813473623982226,9.783848590417987,22.45872988093402,22.041474755343696,894798,22
3.366063782699226,6.063027990155143,0.8422504794276051,8.280465992959517,21.020900046644982,20.923258780511066,893987,21
3.476292387842685,6.154041002432057,0.8786915914439435,8.073069492833236,23.469350029866035,22.61176746235742,820330,16
4.285788260082758,7.2653722017966125,0.7959131740922762,10.5081885371808,23.095679423203936,22.588466038272195,817620,23
3.545856162461114,6.227305950637303,0.8779658204161676,8.264379825316555,23.713850074913683,22.95340642951658,798252,15
3.38989345741378,5.98077046585037,0.8738076609305828,7.845236161002674,22.797089228124086,22.268381692547596,781693,14
3.657194032080457,6.380619355839497,0.8408665570556287,8.502726230064885,22.55217729544518,21.644625120066557,741305,8
3.3014147706220434,5.872551520155658,0.8689328442057046,7.608145930020522,22.377033247200206,21.878589746084057,725234,13
2.832534042416861,5.164913315958146,0.8745839405213707,6.391731538433109,20.66980982499259,20.015786862223614,698199,9
3.185543148869564,5.7423714628099445,0.8686901923811919,7.2990955811845435,22.059233023475652,21.45351526245426,698170,12
2.8701678302999496,5.258598256529363,0.8754332902640951,6.473829171298139,20.921821043125263,20.31015323426884,671022,10
2.9677890163313645,5.432693917769184,0.8728104640121769,6.671201780863462,21.412066328934447,20.746206762361336,668577,11
3.8187392146289634,6.593271480174299,0.8055200384531416,9.260075573791772,22.23169961246319,21.666640244463732,645100,0
4.217958346459648,7.063075517933979,0.8232477476598725,9.833712206844742,24.157057833697458,23.293417804071492,611512,7
3.821782124017466,6.737631431526211,0.7915292290462064,9.35562277957452,21.98505619536271,21.09192104968514,475751,1
4.300224831159165,7.097832477991951,0.8384913122137931,10.016983419138363,25.7184908104627,25.1022334092025,403720,6
4.224702534139083,7.442764598369923,0.772750527780048,10.436015720524527,22.981104813234356,21.627896473031427,355499,2
4.345198234061138,7.608205548362552,0.7755728746527119,10.645182653636091,23.416180179849512,22.238799580419702,272450,3
3.788258822803681,6.525477121021661,0.8443366061118321,8.769175535102868,24.505884460522665,24.29351947525467,259288,5
4.280984504427465,7.481889706647753,0.7931443720410233,10.154153502636376,24.491778924128564,23.423196959586114,235530,4
