pred_decile,resid_var,resid_std,resid_mean,n
"(2.451, 8.737]",2.5818357807870655,1.6068091924018437,0.4493026422271929,1627433
"(8.737, 10.491]",7.938121228457117,2.8174671654621135,0.46022987196992204,1627431
"(10.491, 12.541]",12.155761634972286,3.4865113846038547,0.6076147478012118,1627432
"(12.541, 14.823]",15.920002750846413,3.989987813370664,0.723371512664232,1627434
"(14.823, 17.449]",20.23235547860019,4.498039070372799,0.8202929647312575,1627430
"(17.449, 20.616]",25.6756682483863,5.067116364204231,0.8431430620787677,1627431
"(20.616, 24.623]",33.85648140915501,5.818632262753422,0.7278711427024751,1627432
"(24.623, 30.12]",46.384972893209365,6.810651429430915,0.6114998283451112,1627432
"(30.12, 39.739]",74.02179714356693,8.603592106996178,0.5021021306151948,1627432
"(39.739, 126.284]",155.7766573845591,12.481051934214483,0.8331785109821928,1627432
