pred_decile,resid_var,resid_std,resid_mean,n
"(-3.441, 8.34]",0.04697209542213756,0.21673046722170272,-0.07725164303124923,1627437
"(8.34, 10.306]",0.13972562097425578,0.3737989044583408,-0.02977360941565446,1627428
"(10.306, 12.569]",0.20480483059863686,0.4525536770358151,-0.01689308164629399,1627432
"(12.569, 15.152]",0.24862544994649033,0.49862355534660646,-0.019402847826629478,1627432
"(15.152, 17.937]",0.4283297198291218,0.654469036570197,-0.04199392361750841,1627431
"(17.937, 21.139]",0.5053201275055369,0.7108587254198523,0.01740218006456345,1627431
"(21.139, 25.314]",0.6486587372497696,0.8053935294312773,-0.045690472005963566,1627432
"(25.314, 30.838]",0.7800751690138567,0.8832186416815808,-0.07647733289044967,1627432
"(30.838, 41.426]",1.0498860003363708,1.024639448946004,-0.04519772401709714,1627433
"(41.426, 120.977]",5.430092256264981,2.330255834938512,0.029303540631594474,1627431
