mae,rmse,r2,p90_abs_error,mean_y_true,mean_y_pred,n,hvfhs_license_num
3.89377459076674,6.560289640415063,0.8324482168322892,8.926206515614277,22.202476683839066,21.706733734693266,11855082,HV0003
4.313962896851276,7.067933734096942,0.7961339583813123,9.63239793961983,22.840542381720482,22.57890341169169,4394949,HV0005
7.1590022491251695,8.808801030147245,0.5199589252138158,13.324144303780058,21.99169219367589,16.578697322165397,24288,HV0004
