pred_decile,resid_var,resid_std,resid_mean,n
"(7.88, 8.694]",4.802643757251242,2.19149349924914,0.43864707496106925,1627459
"(8.694, 10.485]",9.784579129408394,3.128031190606704,0.6404406734242011,1627405
"(10.485, 12.348]",15.175647711469123,3.895593370908869,0.8566490404235402,1627434
"(12.348, 14.605]",18.656030168471336,4.319262688060467,0.9718586393141403,1627830
"(14.605, 17.227]",22.75498025116065,4.770218050693349,1.073086826467974,1627058
"(17.227, 20.286]",29.007344789322218,5.385846710529573,1.1546742000908279,1627416
"(20.286, 24.126]",38.14146103628905,6.1758773495179655,1.0657893058584478,1627426
"(24.126, 29.785]",51.237529244891434,7.1580394833286185,0.9766747023305096,1627427
"(29.785, 39.279]",78.64575028592542,8.868243923456628,0.865345288993909,1627432
"(39.279, 104.715]",163.1653223585283,12.773618217190002,1.1553062164881716,1627432
