pred_decile,resid_var,resid_std,resid_mean,n
"(-4.401000000000001, 8.32]",0.0688734440823224,0.26243750509849467,-0.03254533512113054,1627432
"(8.32, 10.327]",0.17362084187451896,0.41667834341914023,-0.02617388353983432,1627432
"(10.327, 12.561]",0.2592747288424016,0.5091902678198019,-0.01616921050707829,1627432
"(12.561, 14.984]",0.3773949783977278,0.6143248150593689,0.07528444600183927,1627441
"(14.984, 17.918]",0.8618420323245709,0.92835447557739,0.08784733898171483,1627423
"(17.918, 21.19]",1.0394899393950698,1.0195537942625048,-0.006198537184447677,1627431
"(21.19, 25.252]",1.061063006131972,1.0300791261509825,-0.045315766717589696,1627432
"(25.252, 30.93]",1.2308026156132648,1.1094154386942994,-0.06761088520351063,1627432
"(30.93, 41.278]",1.9427634603572908,1.3938304991487633,-0.02438884674172836,1627432
"(41.278, 123.961]",13.971387379743668,3.7378319089739267,0.4176999373898877,1627432
