mae,rmse,r2,p90_abs_error,mean_y_true,mean_y_pred,n,hour
3.2542796482306904,5.713598791286299,0.8422232683888846,7.717093010094738,21.082936519850666,20.070244918816073,999210,19
3.754088911007942,6.5470113774724314,0.8179242306746556,8.994720011284723,22.52495254095947,20.971003244411666,978528,18
2.9193490025647995,5.357994628214145,0.8625788693743552,6.913456276318824,20.408283242558774,19.78491426471876,925553,20
3.567702738631049,6.406863052020225,0.8469908694012711,8.416360767053117,22.808341101960036,21.26916209155156,902991,17
3.9542675058896966,7.285750716312965,0.7967405587019069,9.849224340332592,22.45872988093402,21.076607736718515,894798,22
3.2497363542434616,6.138922167733354,0.8382764909141822,7.946502278009888,21.020900046644982,20.21747696121672,893987,21
3.5417316661444573,6.426593410241735,0.8677085480501694,8.2378491718676,23.469350029866035,21.888319457548285,820330,16
4.2975476751664345,7.588509046331719,0.7773554094397004,10.735884897668678,23.095679423203936,21.53058433547782,817620,23
3.602933061924003,6.489220190585365,0.8674846766378459,8.377158602521181,23.713850074913683,22.191381498317494,798252,15
3.405671523071738,6.178330367384177,0.8653330653686755,7.872422041726127,22.797089228124086,21.543564476902812,781693,14
3.7352484455487605,6.790835574301607,0.8197471188191598,8.941672056174912,22.55217729544518,20.87203197324439,741305,8
3.310706230074825,6.085753344323284,0.8592433581644864,7.617483864127475,22.377033247200206,21.155840351201938,725234,13
2.8410488915153547,5.350972463350578,0.865385293289689,6.517482497570357,20.66980982499259,19.54120611715404,698199,9
3.214503723549378,5.970392684815557,0.8580549040944176,7.362708717101224,22.059233023475652,20.78659192140767,698170,12
2.8801689914645263,5.427077124737199,0.8673235037802963,6.51909241434499,20.921821043125263,19.831572589225996,671022,10
2.9988727999548295,5.62863298409358,0.8634704146777621,6.727949569365619,21.412066328934447,20.20950899651735,668577,11
3.8655020748790574,6.898973472858615,0.7870675292678884,9.635827424641693,22.23169961246319,20.746347215228628,645100,0
4.295279279588082,7.4735581318754365,0.802106244128583,10.328667178673799,24.157057833697458,22.394665450443192,611512,7
3.9244669924646938,7.108264900817527,0.7679626587714297,9.92921872666186,21.98505619536271,20.18959595681598,475751,1
4.378048807750761,7.56937978107423,0.8163186806248873,10.616527911323018,25.7184908104627,23.99169046953728,403720,6
4.427674609608873,7.981792083622071,0.7386423971024292,11.340828335732676,22.981104813234356,20.59524265413575,355499,2
4.508259115240911,8.170712900779712,0.741160368098303,11.462972572930669,23.416180179849512,21.127505424876123,272450,3
3.7639173785807576,6.854595660057974,0.8282385745450164,8.862653563754563,24.505884460522665,23.19576691341416,259288,5
4.455382869850262,8.09248449269138,0.7580038317718174,11.064588596214437,24.491778924128564,22.1988005445047,235530,4
