mae,rmse,r2,p90_abs_error,mean_y_true,mean_y_pred,n,PULocationID
4.4421204551033915,7.1914216554800365,0.7753770188561036,10.507235053234494,23.41195644258848,22.370662330413577,269162,79
8.072163379688835,11.040683508518654,0.711781768079682,16.77115321887484,41.13156395965151,43.280106829305645,241496,138
2.930650615517917,5.102520367825049,0.8577765559076911,6.636849786585962,20.548952011211444,19.705580411641254,220489,61
7.501107279381995,11.563270095338735,0.7840118657237235,16.609004672782216,51.22277900583535,51.36285874575926,213526,132
5.202182173929387,8.236550540787615,0.7777708271650267,11.857914648987336,25.88399147181664,24.601691272523656,205671,231
4.73534380078072,7.709128756540647,0.8053121678605969,11.026317818160955,25.39021414269047,23.80839730834128,196271,68
5.582495558503461,8.527669343911851,0.8222532438279011,12.65892043060708,27.91834135208488,28.234015443158036,194544,230
5.061383491490779,7.766469080277016,0.7543946492300895,11.780042654039363,25.208395649218218,25.611595690832715,192701,148
4.604306568683594,7.384164550906787,0.8054050395495471,10.656665679141003,23.543482344728424,22.82237503957793,191954,234
3.1911578941323353,5.7906479583880275,0.8298267409565215,7.364526078375117,21.533935596639363,20.456339496865972,189369,37
4.821777348212276,7.514433659475887,0.783336439831116,11.131408705064452,23.954348421838343,23.410073593105835,187560,249
4.280051382615432,7.165220749584721,0.8272450853188521,10.053010004345648,24.827638965022725,23.387441397782325,180603,48
4.849249383620191,7.730056766175725,0.7887314274207486,11.294465255006214,24.456940913449746,23.382981461932264,179364,246
5.438084418102061,8.266220648549847,0.8216490556710017,12.137068398134817,26.329551500624557,26.087370453284134,177726,161
4.757609898873306,7.6317926866587085,0.8218712124231586,10.754484195007167,25.120319958293702,24.63563884623582,174554,164
4.107781429784018,6.897754395764448,0.7828829578467251,9.81454062475353,24.72913615510103,24.037017490991694,169799,255
2.1556523206139393,3.9149951665972558,0.8956025421650786,4.669303286917613,17.737079404184577,17.215992998895135,167233,76
4.176132202523129,6.86282738441611,0.8317256198409466,9.714525735165992,22.918946035040594,21.887413619613874,163810,170
2.4390697110909256,4.475461013085394,0.874842547042501,5.460385298924541,19.462824355856245,18.716145105548456,161998,7
3.4399213868460907,6.040565117759048,0.8322765716416096,7.826675157942168,22.841142601710633,22.034048012722927,149886,181
3.817883676201738,6.510763181716,0.7887215612754653,9.042108563342863,23.198920162715204,22.28342586659627,146022,256
