pred_decile,resid_var,resid_std,resid_mean,n
"(1.7970000000000002, 23.37]",1.4583067573536463,1.207603725298016,-0.09169137400009475,403781
"(23.37, 26.653]",0.6118411952057549,0.78220278394145,-0.052164951520164746,403804
"(26.653, 29.504]",0.6544339009213751,0.8089708900333652,-0.07331079708898443,403761
"(29.504, 32.394]",0.6760141398925035,0.8222007904961558,-0.02989291349785329,403777
"(32.394, 35.735]",0.7470214292732662,0.8643040143799323,0.002601011579027798,403781
"(35.735, 39.803]",0.9942318361009244,0.9971117470479045,-0.10689702626426589,403780
"(39.803, 44.878]",0.9014588778990925,0.9494518828772169,-0.06980254495693385,403785
"(44.878, 52.194]",0.9730408318792397,0.9864283207001103,-0.0341270640063424,403776
"(52.194, 65.904]",2.5673496476020343,1.6022951187599725,-0.06587299388825026,403781
"(65.904, 118.752]",14.385449814416251,3.7928155523853584,0.772559854362978,403781
