pred_decile,resid_var,resid_std,resid_mean,n
"(2.476, 7.878]",0.04497739136930933,0.2120787386074081,0.016562487655694624,546358
"(7.878, 7.972]",0.004779768057718221,0.06913586665196453,-0.008530471157741349,546333
"(7.972, 8.3]",0.015524587808071555,0.12459770386356064,-0.04643821606900755,546345
"(8.3, 8.962]",0.12863734415304498,0.35866048590978766,0.010853716362388481,546345
"(8.962, 9.736]",0.1248663889508824,0.3533643855156917,0.024588213682800234,546346
"(9.736, 10.688]",0.13969180324008215,0.37375366652393144,0.017791475179056312,546365
"(10.688, 11.894]",0.14067458323054,0.37506610514753264,0.004740067409492127,546325
"(11.894, 13.724]",0.2554867853353563,0.5054570064163284,-0.004896144570863562,546346
"(13.724, 17.252]",0.7381410174953109,0.8591513356186504,-0.05257618318817866,546345
"(17.252, 114.762]",5.214642337099235,2.2835591380779334,-0.004690350059285158,546345
