mae,rmse,r2,p90_abs_error,mean_y_true,mean_y_pred,n,PULocationID
4.8538271137462425,7.934759280889752,0.7265410186678457,11.835630603654321,23.41195644258848,20.953138384936636,269162,79
8.569626084696313,11.476764694361949,0.6885642361826401,17.313135480174267,41.13156395965151,43.48857407795304,241496,138
2.975703963081959,5.239393048195921,0.8500440659086705,6.799789543796925,20.548952011211444,19.977172365825734,220489,61
7.971366675970334,11.962331321485635,0.7688466420461262,16.97391539653001,51.22277900583535,51.20602444440484,213526,132
5.69383629001745,9.282416049952435,0.7177510111519074,13.894660018266013,25.88399147181664,22.075131072385037,205671,231
5.1577703729680895,8.457879470180007,0.7656574267037121,12.579816555627602,25.39021414269047,22.071012394368154,196271,68
5.607330097639684,8.964613706093044,0.8035716633504075,12.81513211698969,27.91834135208488,25.85920381004013,194544,230
5.072600786005224,8.22400545453859,0.7246041646672626,12.040717418856042,25.208395649218218,23.24895030006477,192701,148
4.805474506561965,7.943588804672687,0.7748031212490014,11.509764884027165,23.543482344728424,20.98848982465726,191954,234
3.2980640963026593,6.084508899651896,0.8121167552463143,7.7306544238653565,21.533935596639363,20.376997051425743,189369,37
5.140494913946748,8.305445156820968,0.7353211765955947,12.374559258124227,23.954348421838343,20.947900832732277,187560,249
4.522114471452078,7.651408181658649,0.8030055441782307,10.947398604571534,24.827638965022725,22.332244432302595,180603,48
5.035563986845616,8.135950570479292,0.7659621313354698,11.857721795926443,24.456940913449746,22.293282114504642,179364,246
5.5926985332495365,9.07116508455561,0.7852231012006166,13.523641757518629,26.329551500624557,22.756422564236576,177726,161
4.9496729826938575,8.184844092754684,0.7951189432723857,11.493895642069472,25.120319958293702,22.804649015250064,174554,164
4.370599544210201,7.4889745372357375,0.7440688379983491,10.683581957111539,24.72913615510103,22.839783925897475,169799,255
2.2014081656414914,3.9850428768765997,0.8918333299556438,5.004302617896998,17.737079404184577,18.35014506312573,167233,76
4.348988395493556,7.232170560494996,0.8131258767834127,10.301339473054847,22.918946035040594,20.931178690978808,163810,170
2.4173681862215863,4.469470547789863,0.8751773727062846,5.573820987829507,19.462824355856245,19.376865074678523,161998,7
3.551695968922535,6.296342640512503,0.817771920607524,8.169242300251343,22.841142601710633,21.882839655643785,149886,181
4.073653600802831,7.050590428447606,0.7522336315862224,9.884266865974224,23.198920162715204,21.311131041577266,146022,256
5.063245692932745,8.810591465617737,0.7556596518101381,12.88656041728612,23.69408685945801,20.0035501919849,145131,237
4.156451421144761,7.401276444240351,0.7613772097922467,10.446935775351427,22.90912417600011,21.826879896018742,143659,80
3.339383797040497,5.827448423651202,0.7936352728476656,7.787760401488869,21.69512143773353,20.72650554123813,143448,112
2.8793323938505626,4.999624643112132,0.8597969276442468,6.603882428363004,19.929161442990964,19.900981448606355,143258,42
4.494694318595603,7.533090937971947,0.7768643550974916,11.095628684465284,22.58552438058604,19.93144480941381,141424,107
4.973781255066857,8.23958624746135,0.80439147846876,12.236367663276617,25.203361609429212,21.928887881676893,138633,162
5.507611020277705,9.352306485626672,0.775173849442466,13.71954321876742,26.052287911577174,22.28492197284804,137702,163
3.1673901429658025,5.614436920806006,0.8267997961548648,7.3359218884585955,20.47214742004016,19.644693367645672,137444,17
3.1322234560913373,5.514806866813562,0.8367426147829465,7.062822497953164,21.15270952017384,20.609296472902646,136216,225
3.416204479791319,6.445455649774026,0.798526951541569,8.21526911141336,21.726274818713883,20.196391049310645,135835,36
5.453083397829848,8.88658785718486,0.6890182059610228,13.374695986292357,24.29377316508624,20.331777783195438,133930,144
2.5584661239732345,4.522506013588263,0.890524650642746,5.761458881132669,19.94672117200793,20.31565386452216,128122,89
3.2076166256014975,5.439663252219827,0.8318026551286676,7.318888676712653,21.72483283722387,21.562695039013107,127660,145
5.013965251641142,8.186825754513126,0.8044256489159117,11.954335646927918,25.812776522280046,23.299148148066738,126997,186
4.656504407476488,7.832952066933215,0.7744859387171974,11.309509605990312,23.19293797503249,20.298318596332862,126965,90
4.859207505372552,8.45399353349608,0.7498423602943437,12.221252387235905,24.236436293802452,21.06456542711629,126534,236
5.116610526671284,8.429338444800923,0.7201641328690376,12.47454035095989,23.965063429129756,20.61837386254737,123839,114
2.8290123206928723,4.88473647126486,0.8695335868363019,6.323391013563223,20.267636351737167,20.450504376402943,122239,188
2.4178312052397564,4.255075327281777,0.8777505554569207,5.451763414903197,18.379872328477525,18.868964338215733,121092,129
5.701223393318938,9.179309312995839,0.7127150818465213,13.811081543310335,25.24144582820658,21.209107180625825,120284,158
3.1859538552946898,5.3344865859219475,0.8487326079042807,7.253975640131725,21.47058217080925,22.01780848239242,119209,244
4.6728689414577484,8.077909816096234,0.7860201792835466,11.574527950195495,24.102974833041618,21.578637144349223,117694,142
5.185204104014753,8.342934035623793,0.7708950072213439,12.304297467871297,27.346443745150445,24.883126814623882,115990,87
4.90997994947204,8.203527589839982,0.7411767248287684,12.274299899546564,23.280942577516022,19.948650111318475,115460,113
3.9288542029453652,6.766321900779831,0.8196252096137698,9.351986192198446,22.90491928691137,20.959806531070043,115161,141
