mae,rmse,r2,p90_abs_error,mean_y_true,mean_y_pred,n,hour
3.3700416119788152,5.666915076262817,0.8447910066648228,7.781875245638448,21.082936519850666,20.84521654146556,999210,19
3.7928970587829305,6.423839714282908,0.824710721115213,8.875140949720597,22.52495254095947,21.76100430825936,978528,18
3.114774129201209,5.400958333641849,0.8603661786836336,7.266435067224017,20.408283242558774,20.526647572869607,925553,20
3.5943518301040207,6.285938872282249,0.8527122009869773,8.367472079965449,22.808341101960036,22.00122143704262,902991,17
4.106908524720053,7.153200089809898,0.8040691336501105,10.016623959899741,22.45872988093402,21.941183684791596,894798,22
3.4538974248850725,6.157855247132742,0.8372774081430343,8.390475284750424,21.020900046644982,21.01212777466925,893987,21
3.5671042943893667,6.307256482905936,0.8725760340594524,8.313118696703516,23.469350029866035,22.627929110234717,820330,16
4.3980187694474,7.439627741948154,0.7860059757588892,10.779461725372041,23.095679423203936,22.374716375231586,817620,23
3.6430466299341067,6.384793539484486,0.8717153198181816,8.480844925172686,23.713850074913683,22.97417069916433,798252,15
3.502620063406614,6.151325592552444,0.8665077201185007,8.051435262967404,22.797089228124086,22.276278404201133,781693,14
3.7737171471578805,6.663559327198105,0.8264405271019066,8.798041671505102,22.55217729544518,21.559732661347958,741305,8
3.394029656426537,6.031691025959639,0.8617330517728502,7.737103192296826,22.377033247200206,21.78111354658308,725234,13
2.8808999879778514,5.2851316956527175,0.8686776322779516,6.482515854127922,20.66980982499259,19.989147599111497,698199,9
3.264173073205951,5.890169371690432,0.8618438679605556,7.417231851701622,22.059233023475652,21.342354272567484,698170,12
2.9321843150501214,5.376255134322181,0.8697967730998208,6.597835632121829,20.921821043125263,20.284541616238535,671022,10
3.0323804566125014,5.555325708656275,0.8670035766017702,6.780527609743529,21.412066328934447,20.679917875561998,668577,11
3.933036496714251,6.780431299306127,0.7943221218892647,9.602447978772851,22.23169961246319,21.49464375294744,645100,0
4.365945291174287,7.333643232046612,0.8094465508136335,10.148386181559928,24.157057833697458,23.276387823529006,611512,7
3.9101276935770777,6.882367732668736,0.7824763811631019,9.603292891720933,21.98505619536271,20.86980728779187,475751,1
4.476701392228204,7.470321921763672,0.8210947712590551,10.496827638906868,25.7184908104627,24.782896603336184,403720,6
4.375661475519464,7.699108004358856,0.7568271186041027,10.871006356333512,22.981104813234356,21.264751995333352,355499,2
4.50214025944092,7.923515549785563,0.7565853565038639,11.09282183294966,23.416180179849512,21.778120024068706,272450,3
3.893933903867148,6.796552895786042,0.8311351125594553,8.913936321435898,24.505884460522665,23.863039105434787,259288,5
4.491562067073154,7.879359416636818,0.7705824908425342,10.713945345582296,24.491778924128564,22.93686881858068,235530,4
