mae,rmse,r2,p90_abs_error,mean_y_true,mean_y_pred,n,PULocationID
22.018594085495362,23.139853548307617,-1.3256582240746262,29.830741963148117,23.41195644258848,1.412026047706604,269162,79
18.43043053997321,21.32633989672013,-0.07538056111333069,31.332901153564453,41.13156395965151,22.823104858398438,241496,138
21.32967780678682,21.900179752236706,-1.6199744512198953,25.50475571846962,20.548952011211444,-0.7635908126831055,220489,61
20.59091300154763,23.549083252836194,0.10418864512703885,32.9947819519043,51.22277900583535,30.772296905517578,213526,132
22.28262005531736,23.720831645760924,-0.8431902176810355,31.53622657775879,25.88399147181664,3.624814987182617,205671,231
23.096151696528707,24.2962036949028,-0.9337710342994476,31.409652433395387,25.39021414269047,2.3160808086395264,196271,68
20.451798315793997,22.11214960390524,-0.19509631371517733,29.24912297821046,27.91834135208488,7.53322696685791,194544,230
20.549997157562817,21.944687557952783,-0.9608726663736098,28.57614860534668,25.208395649218218,4.689031600952148,192701,148
21.383616354083745,22.58957107553668,-0.8211462596944026,29.416983041018252,23.543482344728424,2.187105894088745,191954,234
21.776629200668197,22.49370027362131,-1.5677858324594158,26.515809646606446,21.533935596639363,-0.21867623925209045,189369,37
21.68805856256038,22.93899516937976,-1.0190270880164274,29.972629680633545,23.954348421838343,2.284250259399414,187560,249
22.45198103101332,23.51513086152994,-0.8606558875259465,29.708126060485842,24.827638965022725,2.3980932235717773,180603,48
21.79990765832348,23.092170344716607,-0.8853806115424263,30.20630877685547,24.456940913449746,2.6824567317962646,179364,246
21.142723651930787,22.69374829034513,-0.344230957640689,30.373730053901674,26.329551500624557,5.2241668701171875,177726,161
21.149124652555518,22.45161114908313,-0.5416152812876485,29.052676103591924,25.120319958293702,4.00855827331543,174554,164
21.233573496129843,22.322148576457145,-1.2737905097409636,27.72852556991577,24.72913615510103,3.5131938457489014,169799,255
20.758024594481878,21.09533806617628,-2.031101239574974,23.51329300308228,17.737079404184577,-2.9969069957733154,167233,76
22.1024572782642,23.103689294588307,-0.9071046243411862,29.272497337341314,22.918946035040594,0.841389536857605,163810,170
21.11526277851034,21.55470084512235,-1.9031211473894398,24.386573755264283,19.462824355856245,-1.6403549909591675,161998,7
21.475694865520172,22.278196308051665,-1.2813853226501002,26.343687438964842,22.841142601710633,1.389445424079895,149886,181
21.588784000829055,22.524576155085352,-1.5287426668743374,27.804452637672416,23.198920162715204,1.624369740486145,146022,256
22.69738222461262,23.986796167889462,-0.8110462840794024,31.402967433929444,23.69408685945801,1.0132713317871094,145131,237
21.032250483210806,22.143716050944658,-1.1359922651705787,26.848239562988283,22.90912417600011,1.911297082901001,143659,80
