mae,rmse,r2,p90_abs_error,mean_y_true,mean_y_pred,n,hour
3.2543208773988996,5.596604831555463,0.8486185156049331,7.658392069088173,21.082936519850666,20.341378114891032,999210,19
3.6952255560207674,6.341987425874857,0.8291493184456993,8.739484792779418,22.52495254095947,21.295280972006378,978528,18
2.9528252912550075,5.2980195254563585,0.8656381178974237,7.0016613125686105,20.408283242558774,19.96315856187645,925553,20
3.5327827602639887,6.23919771602176,0.8548944705113238,8.265303656842317,22.808341101960036,21.500057786365446,902991,17
3.9338979714293667,7.067535921018396,0.8087338301432336,9.731409374130704,22.45872988093402,21.46893810962553,894798,22
3.2751510555019725,6.053414174766181,0.8427503525588754,8.019994009846474,21.020900046644982,20.425196814784265,893987,21
3.5078639533975555,6.268976408128938,0.8741180664028582,8.11207514665354,23.469350029866035,22.069737314315933,820330,16
4.24417904783591,7.346136158907627,0.7913505795583008,10.493059811300826,23.095679423203936,21.971831727313358,817620,23
3.5594735411678204,6.313336429439659,0.8745707154772789,8.249936976604506,23.713850074913683,22.411643382710366,798252,15
3.3722300942304724,6.026070988245806,0.8718887681609232,7.771404950533424,22.797089228124086,21.774833837808302,781693,14
3.6716105464275945,6.521248903258345,0.8337746184513652,8.639869673207508,22.55217729544518,21.120464009991593,741305,8
3.2836868360545757,5.922695623891197,0.8666849952660722,7.540807933920758,22.377033247200206,21.4136776110004,725234,13
2.837259030190624,5.243222966347941,0.8707520302372527,6.45235097125093,20.66980982499259,19.627127093529758,698199,9
3.1872063981733953,5.8101148126552,0.8655737670258603,7.270329580489097,22.059233023475652,21.011943749427704,698170,12
2.8774718345910366,5.3237069443428995,0.8723295795702416,6.474485811481004,20.921821043125263,19.91985184427456,671022,10
2.9844083359781624,5.507046071095635,0.869305194147394,6.674382938207217,21.412066328934447,20.338680212337557,668577,11
3.808282921769045,6.679674372007632,0.8003894338771778,9.359478515832741,22.23169961246319,21.109104737387877,645100,0
4.214586601784313,7.205422864937861,0.8160515198216158,9.980046758948149,24.157057833697458,22.682155898250528,611512,7
3.8568375914945072,6.882114283683065,0.7824924018488804,9.597190750120998,21.98505619536271,20.56102207467051,475751,1
4.278728106953392,7.229156259738213,0.8324595710198787,10.137339367127174,25.7184908104627,24.456619103405647,403720,6
4.289116819568875,7.633256669088594,0.7609690990339153,10.755346995569457,22.981104813234356,21.06616728943505,355499,2
4.372924622126518,7.785206183264477,0.7650090646376684,10.851558597628593,23.416180179849512,21.657481194182317,272450,3
3.729287506049192,6.611159240686623,0.8402219235836672,8.65281462237774,24.505884460522665,23.67094018901884,259288,5
4.296521220579646,7.657498995898229,0.7833200958698133,10.378118277063585,24.491778924128564,22.806541455225645,235530,4
