pred_decile,resid_var,resid_std,resid_mean,n
"(-0.784, 8.666]",2.4150007879783173,1.5540272803198525,0.47335226616798215,1627432
"(8.666, 10.398]",7.55576730330851,2.7487756007554545,0.5095861175990157,1627432
"(10.398, 12.469]",11.477723354677254,3.3878788872504364,0.6723986516957597,1627432
"(12.469, 14.795]",15.510884100967791,3.938385976636596,0.7593484635632233,1627432
"(14.795, 17.435]",19.37101329859863,4.4012513332686005,0.8230954631282782,1627432
"(17.435, 20.653]",24.88985214875137,4.988973055524691,0.8254678156293285,1627431
"(20.653, 24.761]",32.82809546289574,5.72958074058615,0.6332527113505881,1627432
"(24.761, 30.225]",44.761149342383725,6.6903773692059945,0.4553683582123413,1627432
"(30.225, 40.082]",73.12423200102702,8.551270782815092,0.41660182958147185,1627432
"(40.082, 127.723]",154.33448501258317,12.423143121311256,0.3309906594260071,1627432
