PULocationID,mean_abs_error
1,11.175972644583704
2,6.887615268835236
3,4.167171278223102
4,4.809307211191012
5,6.381373717913361
6,5.437382682005576
7,3.797965257720581
8,4.239187574583323
9,5.05720743669839
10,4.595175147989328
11,4.545312761831675
12,5.932891491076863
13,6.210670431942707
14,4.367898657710244
15,6.203118614758427
16,5.643040173418617
17,4.133524013538748
18,3.6111772590621145
19,6.273123857309215
20,3.8980403688319605
21,3.6045056415876218
22,3.644097588090658
23,6.024988546648208
24,4.083153205573001
25,5.056180678483905
26,2.734811666957836
27,8.417686281177492
28,4.537683670474136
29,4.085444645476123
30,5.924267829127474
31,5.515876645407969
32,4.231086297649297
33,5.2638452174332775
34,4.359116500470355
35,3.6147571321295437
36,4.167808987113195
37,4.372162784808398
38,5.19072226263043
39,3.8508406374720336
40,4.448462734911143
41,3.933897465987109
42,4.0143249463297614
43,4.815110053603265
44,6.859125451508535
45,5.169096553802041
46,6.861717516137924
47,3.653812795391439
48,4.708346913879061
49,4.248191028989282
50,4.452383397805559
51,4.736902008719124
52,4.690516058310791
53,4.899136286159678
54,4.529326363447091
55,4.90509560849666
56,3.852052937930377
57,4.861408990668964
58,5.005237000809182
59,3.8276685337369276
60,3.763537419944741
61,4.1311124534074795
62,3.9315632757048964
63,3.921143547955305
64,6.408688579138985
65,5.413191560560894
66,5.013734060195586
67,3.788941051351863
68,5.0276747802713375
69,3.579669900116537
70,4.578558884014748
71,3.4216977707744523
72,3.486346682252207
73,3.8673418842243037
74,4.011528641392073
75,4.196235995300693
76,3.7793631934866365
77,3.637934090189783
78,3.7888781429955674
79,5.210698941809801
80,4.873646962893881
81,4.294620476557614
82,3.5036876298776782
83,3.6919890322181073
84,6.09699912765928
85,3.476263965205725
86,4.170008652933687
87,5.306176685198587
88,5.874765661201943
89,3.517255663367802
90,4.617414065699144
91,3.5815808145163577
92,4.556195020783783
93,8.275801218925107
94,3.455734265562859
95,4.362115435699141
96,4.743579095549776
97,4.5938939670994765
98,5.218867780159654
99,6.369375435159687
100,5.58539321287526
101,6.253181227299558
102,3.7367840395368153
105,4.868779852695312
106,4.160591986283902
107,4.517859006697059
108,4.377567131724936
109,4.99285536808153
110,5.294857646219838
111,3.9220660220710752
112,4.106105772644366
113,4.930272015179064
114,5.816786563569543
115,4.79364513684263
116,4.168953765145518
117,4.688965611323639
118,5.207229892427754
119,3.9788595985331807
120,4.405929307898069
121,4.556116616698778
122,4.332383638636849
123,3.2215454101750445
124,5.1397023566122355
125,5.90586254527923
126,3.9571602893320206
127,4.293820765518144
128,4.000015281087168
129,3.60674811675776
130,4.195851167137393
131,4.902207728239704
132,9.339539353906419
133,3.5836966566424215
134,4.775890555946224
135,4.670744506410954
136,3.619066295757543
137,4.447027313697364
138,8.048813196103811
139,4.7376840653661905
140,4.557147919745569
141,4.333034724624793
142,4.725109466504315
143,4.3950516087164955
144,5.686711833844747
145,4.271457733393015
146,3.919523523371694
147,3.7415485653249014
148,6.0634864190736515
149,3.275412928418551
150,4.403772318341153
151,4.293782856842302
152,4.105722247507684
153,3.5797478342773537
154,5.945165687158298
155,3.9778938358764298
156,5.241664932441255
157,3.8100461475581318
158,5.965234097755984
159,3.573494849701388
160,3.7071588495438834
161,5.987782258961258
162,5.386821335483313
163,5.639563084152586
164,5.162267506808525
165,3.1553712898510073
166,4.062417780009176
167,3.461890054782641
168,3.981817686221008
169,3.558914904318684
170,4.575145579306827
171,4.314270358600793
172,4.56145571346521
173,3.784850876239489
174,4.220274659301057
175,6.411462433712489
176,4.5612322930967855
177,3.7495827499404766
178,2.9661697604325523
179,3.8691395077942783
180,4.22155429863911
181,4.223111980804114
182,4.045012177971582
183,5.160283052365301
184,5.991921701742373
185,4.181644328678758
186,4.86849922267294
187,5.166262410812841
188,3.747130232612605
189,4.557811606137032
190,4.4531219733891065
191,5.06390796075081
192,5.006813535524386
193,3.66315235821599
194,6.065869116493826
195,4.752386437403086
196,4.019353912714873
197,4.09056550100029
198,3.7257388024047673
199,6.3816041311444
200,5.69451430673608
201,5.728277251690018
202,4.412158025336802
203,4.7873236214514305
204,6.8274868097092645
205,4.052379747789399
206,4.327923924963924
207,3.724122560846335
208,5.227312317977991
209,5.448176266454195
210,3.9871750403436272
211,5.966420527165763
212,4.475646069476142
213,4.500153977486386
214,4.922134174244847
215,3.9250706166819125
216,4.473216706607109
217,3.1818068131754207
218,4.679283303474221
219,5.217995680734523
220,4.340991757230026
221,4.660810139365256
222,4.197468448605629
223,4.209726927803839
224,4.36878186792246
225,4.341822421240573
226,3.6177384284180425
227,3.4457232007985668
228,4.086545562105578
229,4.457702755104971
230,5.816680736337408
231,5.629212359079621
232,4.916977493960344
233,4.447402705897254
234,4.892246073395934
235,3.7273754228306775
236,4.860667342789642
237,5.058367830375116
238,4.54046533054049
239,4.621878068410759
240,4.926774359731413
241,3.85562050041406
242,3.7939761797464
243,4.193513362572806
244,4.454080230001376
245,4.612403776534029
246,5.033164416501031
247,4.002450427109507
248,4.458635992474233
249,5.542168191827647
250,4.238300760445372
251,5.055829036793235
252,5.560326553361755
253,8.256924249306811
254,4.202383395612258
255,5.209111571979122
256,4.836811816006742
257,4.0993783425095085
258,4.036167578814695
259,4.537157318221907
260,3.8086489102797993
261,5.866581460744777
262,4.468485647976689
263,4.458946086813871
264,12.57323453407847
265,10.320753179122482
