hour,mean,std,cv
2021-01-01 00:00:00,16.820194749371776,10.751197955554263,0.639183916461836
2021-01-01 01:00:00,19.445714285714285,12.22345722972257,0.6285938922131795
2021-01-01 02:00:00,19.17764846468008,12.46606614997275,0.6500310073433557
2021-01-01 03:00:00,17.240025314513655,11.054074579923295,0.6411866791528046
2021-01-01 04:00:00,18.62175102599179,11.904141444830513,0.6392600474689517
2021-01-01 05:00:00,21.807365332898705,13.79114025839892,0.6324074480282831
2021-01-01 06:00:00,24.34367079388201,14.71271469949583,0.6043753558807324
2021-01-01 07:00:00,21.417073896863368,13.471940512219645,0.629028063174992
2021-01-01 08:00:00,19.712108268887565,12.94442673741812,0.6566738859611908
2021-01-01 09:00:00,18.887303512762195,12.411446220224022,0.6571317187674556
2021-01-01 10:00:00,18.907924318308293,12.59371229542132,0.6660547230574111
2021-01-01 11:00:00,18.88071166473542,12.614435440512624,0.6681122864702883
2021-01-01 12:00:00,20.154108620689655,13.796586729271857,0.684554548600014
2021-01-01 13:00:00,19.311235071582228,13.174286074430162,0.6822083634524756
2021-01-01 14:00:00,19.182118935026235,13.171593816273669,0.6866600014778635
2021-01-01 15:00:00,18.471457480541943,12.973136618757565,0.702334216583809
2021-01-01 16:00:00,17.54377285143938,12.190970062749688,0.694888731516464
2021-01-01 17:00:00,17.855782508630607,12.461180940662505,0.6978792967846345
2021-01-01 18:00:00,17.500194597574424,11.796662662864644,0.6740875135468319
2021-01-01 19:00:00,16.808097239518474,11.546789013960252,0.6869777613382637
2021-01-01 20:00:00,16.893938514394026,11.674904230097782,0.6910706002718368
2021-01-01 21:00:00,16.637866147006882,11.639093862744865,0.6995544837243876
2021-01-01 22:00:00,16.83406989713719,11.289438936385086,0.6706303945135081
2021-01-01 23:00:00,17.049957642075537,11.377646698969215,0.6673123146588759
2021-01-02 00:00:00,16.68214960916197,11.084059124768732,0.6644263110241666
2021-01-02 01:00:00,16.441035883547734,11.002510910702412,0.6692103215778781
2021-01-02 02:00:00,16.668701996927805,10.76530672169965,0.645839533497197
2021-01-02 03:00:00,17.254869897959182,11.493299337396863,0.6660901765916086
2021-01-02 04:00:00,18.943968342127185,12.398234970622848,0.6544687336207126
2021-01-02 05:00:00,20.81459889349931,14.059546999421114,0.6754656705785528
2021-01-02 06:00:00,19.759864556384112,12.852139805962357,0.6504163917363506
2021-01-02 07:00:00,17.91498206599713,11.423805162590892,0.6376676862140668
2021-01-02 08:00:00,17.54849785407725,11.478621574019781,0.654108498030378
2021-01-02 09:00:00,17.369849522436475,11.547121890618811,0.6647796157188063
2021-01-02 10:00:00,17.47220276425318,12.0494446061018,0.6896351174881087
2021-01-02 11:00:00,17.529924232174267,11.8497669468254,0.6759736545282062
2021-01-02 12:00:00,17.607077688526555,11.692843574857806,0.6640990504902077
2021-01-02 13:00:00,17.96338271737959,12.019649798471844,0.6691195075882239
2021-01-02 14:00:00,18.332819562236555,12.392344893451272,0.6759650282588304
2021-01-02 15:00:00,18.651728563095467,12.582392735802108,0.6745966033785084
2021-01-02 16:00:00,18.68082190485198,12.542072933515746,0.6713876400833405
2021-01-02 17:00:00,18.751102885766212,12.76704858965392,0.6808692089970488
2021-01-02 18:00:00,18.382077198387172,12.52661950757759,0.6814583233649277
2021-01-02 19:00:00,17.74483783783784,11.778822971781585,0.6637887074214482
2021-01-02 20:00:00,17.264309077349242,11.58472207151879,0.6710214709210655
2021-01-02 21:00:00,17.468636285958414,12.025621302384641,0.6884121407949308
2021-01-02 22:00:00,17.775285309811608,12.052962098028384,0.6780741849119792
2021-01-02 23:00:00,17.31862984796773,11.4866968085366,0.6632566726913743
2021-01-03 00:00:00,16.69068517379268,10.913256286619681,0.653853102672826
2021-01-03 01:00:00,16.636555533635825,10.709313383491287,0.643721794564937
2021-01-03 02:00:00,16.725962616822432,10.978858311850582,0.6563962005276994
2021-01-03 03:00:00,16.925774770085027,10.945886095948842,0.6466992645615746
2021-01-03 04:00:00,18.43722515298586,12.083156978569594,0.6553674361682761
2021-01-03 05:00:00,20.229740494870246,13.579312133579327,0.671254885203431
2021-01-03 06:00:00,19.905695198942887,12.848036845207337,0.6454452716572112
2021-01-03 07:00:00,18.938809642147117,13.227886098957578,0.6984539339536819
2021-01-03 08:00:00,17.720241212121213,11.966059726679847,0.6752763454763064
2021-01-03 09:00:00,16.683957413403984,11.390351786799112,0.6827128303293342
2021-01-03 10:00:00,16.32243672001692,11.491614346171206,0.7040379168435393
2021-01-03 11:00:00,16.80031553066521,11.740371403176916,0.6988185062207611
2021-01-03 12:00:00,17.266845780408325,12.078946924789248,0.6995456540472794
2021-01-03 13:00:00,17.539134451123065,12.245144563184178,0.6981612802677443
2021-01-03 14:00:00,17.828319791062103,12.407696353386408,0.6959543298974689
2021-01-03 15:00:00,17.790996831986018,12.769331644177035,0.7177412128599423
2021-01-03 16:00:00,17.373847363880852,12.50959041431622,0.7200241922421213
2021-01-03 17:00:00,17.557030946251245,12.645046771608934,0.7202269455650124
2021-01-03 18:00:00,17.514882201756265,12.795289980650443,0.7305381693841723
2021-01-03 19:00:00,17.441078478286876,12.5195256218229,0.717818318254171
2021-01-03 20:00:00,17.593224203648244,12.65045149170345,0.7190524798223268
2021-01-03 21:00:00,17.558923805090007,12.720696621038329,0.7244576468491101
2021-01-03 22:00:00,18.31142489546478,13.766407583987334,0.7517933564742351
2021-01-03 23:00:00,19.37775496625796,14.436682198036385,0.7450131464235484
2021-01-04 00:00:00,18.005679579776757,13.733830668857186,0.7627499205463182
