PULocationID,base_passenger_fare
1,61.812428099952854
2,31.453654970760233
3,17.819185781162865
4,22.33937706240651
5,21.591296701009473
6,19.832704583754634
7,18.887923506656225
8,20.200819054791943
9,19.443929982605088
10,18.680742654585075
11,18.611269221960477
12,27.259515753129044
13,25.225111670875748
14,19.764302398943585
15,22.79403654989799
16,20.663669183974218
17,20.323816837784626
18,17.94383601805458
19,22.084252499365057
20,18.54213358707353
21,17.606214450694093
22,17.61906753668663
23,20.239388228735162
24,22.010542399374756
25,24.007398382531896
26,16.044754783067972
27,37.20438415878316
28,19.517287692307693
29,18.181099207563854
30,22.230627938213566
31,25.805371658733065
32,18.530369178926072
33,25.252653157771803
34,22.243604282272397
35,18.83207226109555
36,20.830193881800852
37,21.459933051970403
38,21.134509199499085
39,18.703523508963702
40,22.789916286090257
41,20.759305890932662
42,20.42605365008661
43,22.297791262852655
44,24.084267142170628
45,23.763067987848356
46,29.605391935711268
47,17.86476502518044
48,23.313310782340718
49,21.364351992095997
50,22.131077077494496
51,20.014632014574097
52,23.50688434547819
53,21.202689634806575
54,22.95809605254156
55,23.763348627121744
56,18.085750268525445
57,18.76319527552896
58,20.31729855200619
59,18.265154448553403
60,17.718943789140877
61,20.472868263509636
62,20.353055530528906
63,18.974587478510838
64,22.806255590525094
65,24.81392593947742
66,24.056654280381967
67,18.18853486669346
68,23.30662149158224
69,18.781863263947283
70,19.27562205033228
71,18.544969749323112
72,18.089258234010455
73,17.7400880709647
74,19.791318394767085
75,21.558515018209988
76,18.427270837468477
77,18.993407989862764
78,17.874668599585647
79,22.455526864557495
80,22.02117965601133
81,18.472899066828123
82,17.854950624337913
83,17.177312683886573
84,22.57446060904944
85,19.276310708713826
86,23.91149812191263
87,25.78860287621017
88,27.805235313634217
89,19.572176206531353
90,21.599093076696185
91,18.600365975208515
92,20.038397191836317
93,30.082850721356447
94,18.055529087522245
95,19.96195410076864
96,20.49791263525505
97,22.137701919947933
98,19.989391811208485
99,18.879662564509726
100,26.38650562574318
101,24.014704149422137
102,18.045537811162173
105,28.465714285714284
106,21.104138513994815
107,21.25165194072479
108,18.53330424575839
109,21.32884937300367
110,24.303333333333335
111,20.11292861380265
112,21.331287557717285
113,22.009014972393896
114,23.212593686614433
115,18.621774863548886
116,21.149985961935727
117,26.207977226105875
118,20.87804351312343
119,18.923850921608665
120,19.778818000796495
121,20.268407503223596
122,20.108210548618374
123,16.275502069869255
124,19.657018626391544
125,23.856901427934645
126,18.554709378626118
127,19.787177011504713
128,20.36312021144903
129,17.79412010347985
130,18.429440081002795
131,20.096561455243712
132,49.43621138361519
133,19.32734730760041
134,19.103979760915824
135,20.068073516577055
136,18.058631926914295
137,21.136886024018967
138,39.90282311882942
139,19.522135821786474
140,23.01852456195911
141,21.707263381554004
142,22.578007690818133
143,21.26988837849919
144,23.30850238632192
145,21.606330507405723
146,21.153730352473154
147,18.67328446138854
148,24.710963549309565
149,16.7852167782329
150,18.73723666423615
151,22.42550503719282
152,20.760347346414445
153,16.954117832654852
154,25.554062003843907
155,19.88319568636019
156,18.343319726924545
157,17.74093801916933
158,23.784239315934858
159,19.008345654048178
160,18.406650557008337
161,25.278046740770538
162,24.18034358505596
163,24.65635512222082
164,23.843954795231628
165,18.03075264801923
166,21.766644467364806
167,18.29675325482639
168,19.530762787149097
169,17.61234895185296
170,21.587457002213828
171,18.438523518034813
172,20.176120942541928
173,17.366705184119418
174,18.80995609883381
175,21.932177300859344
176,21.928103523866938
177,19.44500013888866
178,16.298882092993466
179,19.57469085158684
180,18.339138786769553
181,21.977283877758865
182,18.76439504084251
183,18.83694215502857
184,21.91696957159514
185,18.73726224892816
186,23.648393883093192
187,18.384825951846242
188,20.03132018550949
189,22.331444346126904
190,22.040484325059506
191,20.46207593212471
192,18.70376110976336
193,20.320068936233984
194,27.73737253005389
195,23.95905575425679
196,18.95672023493902
197,17.70427310463675
198,19.92200430178314
199,33.113571428571426
200,22.935968098091433
201,26.895919496123003
202,25.608434797593684
203,19.929733541304106
204,23.4293795488359
205,19.21155950685201
206,18.683007530457072
207,16.16204456133986
208,19.674194811192038
209,25.346081442461607
210,17.528122284262047
211,23.525561708759895
212,17.5901007388105
213,18.33695822124718
214,20.52247885841015
215,17.967414309849474
216,17.48741546173949
217,16.948010668951017
218,19.216837752623146
219,19.68540875653823
220,19.029409604341513
221,18.523810534427327
222,19.624078108540914
223,19.37821755022253
224,20.96131462143016
225,21.232042423328018
226,18.930761588042092
227,19.186258515808152
228,20.960358220559208
229,21.31720051783796
230,26.47048572773887
231,24.22171579460106
232,22.988811514305652
233,21.09171447790332
234,22.001305293265823
235,18.345248551028398
236,22.80408962290563
237,22.641933063536534
238,22.442749967009764
239,22.480366641510322
240,19.396099563873246
241,18.36225602266383
242,17.595853135556492
243,20.827540972344146
244,21.388690805031903
245,18.517822026634597
246,22.58455364143943
247,18.837902750811494
248,17.79592195875165
249,22.588242700138483
250,17.889462123249768
251,17.309918953766807
252,20.83743425838943
253,31.641639471639472
254,18.844746634871335
255,24.28456992089882
256,22.68165826699792
257,21.114371203052283
258,19.402152300841674
259,19.487588065536904
260,17.43999229631052
261,27.7226263141838
262,21.71666347290836
263,22.352117226422642
264,39.371428571428574
265,22.322542764678687
