feature,mean,std,min,median,max
trip_miles,4.7480804556551,4.871183485915672,0.4,2.98,31.68
trip_time,1092.715871351112,733.4314006806244,156.0,902.0,4806.0
base_passenger_fare,21.774159974037424,15.629319108781486,5.57,17.24,117.37
driver_pay,17.61901866377268,13.626353095102704,-9.24,13.9,800.23
fare_per_mile,6.433802070096298,3.796256294187293,1.785138692233264,5.493333333333333,30.106382978723406
