weekday,base_passenger_fare
Friday,21.60916416237393
Monday,20.8926471796634
Saturday,21.606088705044236
Sunday,22.03699964560714
Thursday,21.198870771866133
Tuesday,20.7047449924138
Wednesday,20.682170875283777
