PULocationID,mean_fare,std_fare,trip_count
1,60.73681515403831,12.807643769070973,2402
2,33.86013888888888,23.745491713591324,504
3,17.780676912876476,12.724816461734937,401189
4,22.50759536946808,13.928581485275537,613666
5,21.768326573564554,18.58358123916181,45613
6,19.922799768402534,14.551103446774766,89811
7,19.023290479329393,12.559691442988758,1714270
8,20.176966370205673,12.89221260320488,7196
9,19.504922122197158,13.4522004028275,138743
10,18.65463085306686,13.159983520213977,632553
11,18.79390661143401,13.865453863704298,188053
12,27.82167755778796,15.487081218131822,20506
13,26.330958856491694,17.181306291998553,765224
14,19.948446577362116,14.477793857480295,940079
15,22.834275794476344,15.462482039983117,108153
16,20.68575599061992,14.463952423366267,314283
17,20.35848689398893,13.630405699585365,1602776
18,17.826366902549946,11.99171696815886,888999
19,22.05923531327727,14.642950801967935,135088
20,18.659770942982455,13.28259797040393,547200
21,17.731104605543802,13.722645162959932,452433
22,17.74234595269354,13.400048723747558,604019
23,20.218366113480627,15.179344990840175,247355
24,22.187559389701505,14.78387163431166,256989
25,24.297088762772542,15.173605170574422,920138
26,16.29574437468652,12.621549666334047,867285
27,36.52630190007037,24.19967371287218,14210
28,19.604876098672946,13.04827753325608,410609
29,18.308343432225005,15.100843042216226,352844
30,22.912295273748242,16.81166707944983,8548
31,25.788815671590363,18.63519300784831,87062
32,18.48521867262516,12.686486361935955,496770
33,25.692504202484248,15.347571121700732,794768
34,23.134156171637503,14.141806800890024,142766
35,18.523167317662868,13.121055400184952,1288794
36,20.944862668440507,13.881601193564551,1335709
37,21.40211738365115,14.016929648194541,2042908
38,21.215021071345443,15.568760111046128,201933
39,18.490610181951848,13.366326749031323,1485393
40,23.073422844076294,14.771087400504268,419391
41,20.7530911219131,14.346580855054011,1208008
42,20.269834783706806,13.696662653424225,1773796
43,22.96352529639795,16.28222733763105,282728
44,24.39468775013733,20.397168396903997,63715
45,24.024566403612372,15.07748991206926,383571
46,29.464649438030428,16.019855739065598,39237
47,17.605815986745334,11.792220149700352,677799
48,24.25882965128878,17.36977587848855,1656643
49,21.549146502188286,13.770247381077938,1045568
50,22.811374145096213,16.423497364000593,1025554
51,19.877241400770284,12.935403013336517,707011
52,23.799868542567364,14.417630956659067,244718
53,21.29357662781742,12.791666529909373,236298
54,23.177779522750075,14.213013646178924,91692
55,23.26058865029697,18.018708769867192,470585
56,18.29923462988523,11.742737646452621,539765
57,19.739986499566967,14.461159898571907,39258
58,20.28111716472303,14.82485180189691,54880
59,18.29461665832339,12.227129179416947,25969
60,17.580014707309765,11.677318060794667,473914
61,20.458073339070108,13.795693584392522,2648411
62,20.473858972418615,13.824879383338457,693765
63,18.936635781198152,12.783442275412929,626832
64,22.93512344849681,16.012551017381284,96761
65,25.044678643415693,15.287612533598509,728801
66,24.537007192071535,14.377423020901064,576051
67,18.6131029618687,14.141110292264043,284989
68,24.430242006444956,17.274100483304643,1716070
69,18.593967584557426,12.402390090790204,944920
70,19.619182119807927,13.60172503624528,357155
71,18.50564624710092,13.259002171087513,877002
72,17.928879344333254,12.716579003714012,1062735
73,17.951469097449316,13.036851912445126,171248
74,19.937028874154873,13.034266162349226,1377010
75,21.80625248455229,14.593554416804523,1184318
76,18.178085329414017,12.588040323078221,2182694
77,18.789155531110477,13.161307997775184,634529
78,17.67967086029873,11.678505577872727,808289
79,22.957876905659045,15.37194493076152,2441347
80,22.301411992698245,14.949711808226354,1333378
81,18.299433537058412,13.618351063928277,528490
82,17.93428544236729,11.357556719370544,1250375
83,17.288366694547246,11.498551442687326,349108
84,22.294887691332306,19.261944128596465,66246
85,19.377803059496323,13.61360627018025,617618
86,23.638160446326587,18.91869116409505,356331
87,26.7048160199556,17.427778327468,1045521
88,28.655152460635808,17.545325761044722,351271
89,19.687011045126074,13.57238486521461,1534523
90,22.47692238211583,16.51618086593704,1185719
91,18.55711332379065,13.417300765624898,987842
92,20.586198322304952,14.658492673878994,753057
93,35.59469023037735,26.199056114994953,110905
94,17.906299123752937,12.019763157939042,420087
95,20.169836533540074,13.078679723862162,1062848
96,20.546628228602597,13.202121208844124,25669
97,22.38610480438679,14.018762659441874,1124285
98,20.109800184346057,12.811313220142727,155143
99,19.403390923750287,15.46760657332872,4341
100,27.246855415094622,19.29740978491573,875451
101,24.16409569886836,15.147986446192034,133523
102,18.117122836851525,11.63852558730456,426924
105,29.435263157894735,20.469544143114195,19
106,21.37178785443285,13.597570021302078,338428
107,22.02902160389268,15.946043088587997,1316522
108,18.511741200642156,14.576529023777562,256013
109,21.289034211494382,17.478939473573732,106017
110,25.4335401459854,19.27491325085674,274
111,20.455591926510543,13.739876764315154,7729
112,21.493940981818344,12.881769431852312,1364122
